"TID","Comment","EN","JP","KR","FR","DE"
"string","string","string","string","string","string","string"
"TID_LOADING",,"Loading","読み込み中","불러오는 중","Chargement","Lädt"
"TID_UPDATING_CONTENT",,"Updating","アップデート中","업데이트 중","Mise à jour","Aktualisiert"
"TID_AMOUNT_OUT_OF_MAX",,"<amount> / <max>","<amount> / <max>","<amount> / <max>","<amount>/<max>","<amount> / <max>"
"TID_RESEARCH_MENU_TITLE",,"RESEARCH TREE","開発ツリー","연구 순서도","Arbre de recherche","FORSCHUNGSBAUM"
"TID_BUILD_SCREEN_TITLE",,"BUILDINGS","建物","건물","Bâtiments","GEBÄUDE"
"TID_SETTINGS_SCREEN_TITLE",,"SETTINGS","設定","설정","Paramètres","EINSTELLUNGEN"
"TID_LEVEL_NUM",,"Level <number>","レベル<number>","<number>레벨","Niveau <number>","Level <number>"
"TID_ITEM_LEVEL",,"<item> (Level <number>)","<item>（レベル<number>）","<item> (<number>레벨)","<item> (niveau <number>)","<item> (Level <number>)"
"TID_ITEM_UNCONSTRUCTED",,"<item> (Unfinished)","<item>（未完成）","<item> (미완성)","<item> (inachevé)","<item> (Unvollst.)"
"TID_CANCEL",,"CANCEL","キャンセル","취소","Annuler","ABBRECHEN"
"TID_BUILDING_HOUSE",,"Home","家","집","Maison","Zuhause"
"TID_BUILDING_NAMED_HOUSE",,"<name>'s Home","<name>の家","<name>의 집","Maison (<name>)","Zuhause von <name>"
"TID_BUILDING_ROAD",,"               ","道","도로","Chemin","Pfad"
"TID_BUILDING_FIELD_PUMPKIN",,"Pumpkin Patch","カボチャ畑","호박 밭","Champ de citrouilles","Kürbisparzelle"
"TID_BUILDING_TREASURY",,"Village Treasury","村の宝庫","마을 금고","Trésorerie du village","Schatzkammer"
"TID_BUILDING_WOOD_STORAGE",,"Wood Storage","木材置き場","목재 보관소","Réserve de bois","Holzlager"
"TID_BUILDING_STONE_STORAGE",,"Stone Storage","石材置き場","석재 보관소","Réserve de pierre","Steinlager"
"TID_BUILDING_CLAY_STORAGE",,"Clay Storage","粘土置き場","점토 보관소","Réserve d'argile","Lehmlager"
"TID_BUILDING_LIBRARY",,"Study","研究所","연구소","Bibliothèque","Arbeitszimmer"
"TID_BUILDING_VILLAGE_KITCHEN",,"Village Kitchen","村のキッチン","마을 주방","Cuisine du village","Dorfküche"
"TID_BUILDING_SAWMILL",,"Sawmill","製材所","제재소","Scierie","Sägemühle"
