"Name","TID","TIDUnconstructed","InfoTitleTID","InfoTID","InfoTIDUnconstructed","NPCGreetingTID","BeginBuildResource","BeginBuildCost","BuildResource1","BuildCost1","BuildResource2","BuildCost2","BuildResource3","BuildCost3","BuildResource4","BuildCost4","BuildResource5","BuildCost5","BuildingClass","ShopBuildingClass","GroundLayer","IconSWF","XP","SCW","SCWRotated","SCWBase","SCWUnconstructed","SCWConstruction","SCWConstructionExtra","SCWClaim","SCWUiBase","SCWAreaGreen","SCWAreaRed","CollisionShape","Scale","MoveResource","TerrainHoleSize","ColorizeMaterials","MoveCost","TownHallLevel","Width","Height","WalkableBorder","IgnoreAdjacentBuildingSpace","ObstacleGrowthDistance","Icon","MaxStoredFountainBoost","MaxStoredWood","MaxStoredBread","MaxStoredStone","MaxStoredFood","MaxStoredClay","MaxStoredPotionIngredient1","MaxStoredPotionIngredient2","MaxStoredPotionIngredient3","MaxStoredPotionIngredient4","MaxStoredPotionIngredient5","MaxStoredPotionIngredient6","MaxStoredCoins","MaxStoredWool","MaxStoredWheat","MaxStoredBerry","MaxStoredMushroom","MaxStoredEgg","MaxStoredBerryPie","MaxStoredBerryCake","MaxStoredFish","MaxStoredCotton","MaxStoredIndigo","MaxStoredSugar","MaxStoredSalt","MaxStoredSugarApple","MaxStoredHoneyCookie","MaxStoredFishPie","MaxStoredApplePie","MaxStoredCakeRoyale","MaxStoredSaltedFish","MaxStoredSaltPot","MaxStoredHoneyPot","MaxStoredAppleJam","MaxStoredSweetHerring","MaxStoredDyeRed","MaxStoredDyeYellow","MaxStoredDyeBlue","MaxStoredDyeGreen","MaxStoredDyeOrange","MaxStoredDyePurple","MaxStoredDyeRainbow","MaxStoredPlushie","MaxStoredRuneGame","MaxStoredWoodenDuck","MaxStoredMarbles","MaxStoredWoodenDoll","MaxStoredSocks","MaxStoredTrousers","MaxStoredHat","MaxStoredTunic","MaxStoredShirt","MaxStoredDress","MaxStoredJacket","MaxStoredRainbowSuit","MaxStoredFigurine","MaxStoredPottery","MaxStoredStatuette","MaxStoredAppleJuice","MaxStoredFlour","MaxStoredHoney","MaxStoredApple","MaxStoredCarrot","MaxStoredIronOre","MaxStoredIronBar","MaxStoredNails","MaxStoredReinforcedPlank","MaxStoredIronSculpture","MaxStoredPickledEggs","MaxStoredCacaoBeans","MaxStoredSilkCocoon","MaxStoredChocolate","MaxStoredSilkSpool","MaxStoredSilkCloth","MaxStoredMilk","MaxStoredCream","MaxStoredButter","MaxStoredCheese","MaxStoredChocolateMousse","MaxStoredMudcake","MaxStoredGrilledCheese","MaxStoredJellyBeans","MaxStoredCottonCandy","MaxStoredRaspberryBar","MaxStoredChocolateHerring","MaxStoredChocolatePralines","MaxStoredFudge","MaxStoredPreservedCheese","MaxStoredYoghurt","MaxStoredSilkScarf","MaxStoredSilkTie","MaxStoredFancyDoll","MaxStoredIronToy","StartingResourcePercent","StartingPotionIngredient1","StartingPotionIngredient2","StartingPotionIngredient3","StartingPotionIngredient4","StartingPotionIngredient5","StartingPotionIngredient6","Profession","AssignRequiredSkill","MaxWorkers","MaxAutomaticallyProducedResources","ProducesResource","ResourceBatchSeconds","ResourceBatchSize","AutomaticResourceBatchSeconds","AutomaticResourceBatchSize","LimitedResourceProduction","AutomaticResourceProductionActiveWhenFull","AutomaticResourceSynchronizeBatchesToDay","HideWorkSiteHUD","DisableBoostEffectToProduction","ResourceMax","InputResource","InputResourceType","InputPerBatch","HarvestResource","WorkPos1","WorkAnim1","WorkPos2","WorkAnim2","PickUpEffect","PlacingEffect","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","AmountCanBeUpgraded","Workers","SpawnResourceData","SpawnResourcePlantSeconds","SpawnResourceAverageSeconds","SpawnResourceHarvestSeconds","SpawnCount","SpawnPos1","SpawnSCW1","SpawnPos2","SpawnSCW2","SpawnPos3","SpawnSCW3","SpawnPos4","SpawnSCW4","SpawnPos5","SpawnSCW5","SpawnPos6","SpawnSCW6","SpawnPos7","SpawnSCW7","SpawnPos8","SpawnSCW8","SpawnPos9","SpawnSCW9","Passable","SoftBlocking","SpeedPercentage","RandomDirection","RandomYaw","RandomPitch","RandomScale","RandomBaseDirection","RandomBaseYaw","StoredResourceNodePrefix","StoredResourceNode2Prefix","StoredResourceGfxSCW","StoredResourceCountPerObject","RequestAmount","RequestExpiryMinutes","RequestCooldownMinutes","DonationLimit","DonationMoveSpeed","DonationCooldownSeconds","ConstantEffect","VillageTaskProvider","VillageTaskFulfiller","EffectActivePos","EffectActiveName","EffectBoostPos","EffectBoostName","EffectBoostScalePercent","ForceNonInteractive","NPC","NPCPlacement","CanBeBatched","IconCameraZoom","IconCameraY","SpawnAnimal","UIBackgroundExportName","LocationSound","UpgradeSignX","UpgradeSignY","UpgradeSignZ","UpgradeSignScale","AnimationAlwaysOn","TouchEffect","IsTaskFulfiller","PremiumTradePartner","ValleyLODScale","ValleyLODMoveFactor","HelpArticle","SkinOfferGroup","TimeOfferGroup"
"String","String","String","String","String","String","String","String","int","String","int","String","int","String","int","String","int","String","int","String","String","boolean","String","int","String","String","String","String","String","String","String","String","String","String","String","int","String","int","String","int","int","int","int","int","boolean","int","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","String","int","int","String","int","int","int","int","boolean","boolean","boolean","boolean","boolean","int","String","String","int","String","String","String","String","String","String","String","int","int","int","int","int","int","int","int","String","int","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","boolean","boolean","int","boolean","int","int","int","boolean","int","String","String","String","int","int","int","int","int","int","int","String","boolean","boolean","String","String","String","String","int","boolean","String","String","boolean","int","int","String","String","String","int","int","int","int","boolean","String","boolean","boolean","int","int","String","String","String"
"Town Hall","TID_BUILDING_VILLAGE_KITCHEN",,"TID_INFO_TITLE_VILLAGE_KITCHEN","TID_BUILDING_VILLAGE_KITCHEN_INFO",,,"Coins",0,"Wood",1,,0,,,,,,,"Town Hall",,,,1,"sc3d/bldv_villagesquare_lv1_geo.glb",,"sc3d/bldv_base_key_4x4.glb",,"sc3d/bldv_construction_village_square_geo.glb",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo","sc3d/ui_base_{w}x{w}_geo.glb",,,"TownSquare",100,,0,,,,4,4,1,"false",2,,10000,,0,,5,,,,,,,,3000,,10,10,10,10,3,3,10,,,10,10,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,50,,10,,,10,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up","Generic Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,"true",,"product_","plate_",,,,,,,,,,"false",,"pos_effect_soup","SoupPot",,,,,,,"true",523,0,,,"Tap_Village_Square",0,0,0,100,"true","Tap_village_kitchen_soup",,,100,100,,,
,,,,,,,"Coins",40,"Wood",5,,0,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv2_geo.glb",,,,,"sc3d/bldv_construction_upgrade_{w}x{w}_geo.glb",,,,,,,,,,,,,,,,,,10000,,5,,10,,,,,,,,3000,,20,20,20,20,5,5,20,,,20,20,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,100,,20,,,20,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,,,,
,,,,,,,"Coins",270,"Wood",35,,0,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv3_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,8,,20,,,,,,,,3000,,30,30,30,30,8,8,30,,,30,30,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,,,,,,,,150,,30,,,30,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,,,,
,,,,,,,"Coins",580,"Clay",60,,0,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv4_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,10,,40,,,,,,,,3000,,40,40,40,40,10,10,40,,,40,40,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,,,,,,,,200,,40,,,40,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,,,,
,,,,,,,"Coins",2100,"Clay",210,"Wood",210,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv5_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,15,,60,,,,,,,,3000,,60,60,60,60,15,15,60,,,60,60,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,,,,,,,,300,,60,,,60,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,,,,
,,,,,,,"Coins",2750,"Wood",350,"Stone",220,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv6_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,20,,80,,,,,,,,3000,,80,80,80,80,20,20,80,,,80,80,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,80,,,,,,,,400,,80,,,80,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,,,,
,,,,,,,"Coins",3200,"Stone",320,"Wood",330,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv7_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,25,,100,,,,,,,,3000,,100,100,100,100,25,25,100,,,100,100,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,,,,,,,,500,,100,,,100,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,,,,
,,,,,,,"Coins",6250,"Stone",630,"Brick",270,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv8_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,30,,120,,,,,,,,3000,,120,120,120,120,30,30,120,,,120,120,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,120,120,,,,,,,,600,,120,,,120,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,,,,
,,,,,,,"Coins",8150,"Stone",820,"Brick",350,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv9_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,35,,140,,,,,,,,3000,,140,140,140,140,35,35,140,,,140,140,35,35,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,140,,,,,,,,700,,140,,,140,35,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,,,,
