"Name","TID","NPC","Cart","Scale","CollisionShape","SpawnToBuilding","SpawnToObstacle","SpawnToNation","MaxCompletions","CooldownSeconds","MinNationLevel","MaxNationLevel","BuildingNeeded","BuildingLevelNeeded","TechNeeded","OtherChallengeNeeded","OtherChallengeStagesCompleteNeeded","Stage","AvailableTID","AvailableSCW","AvailableIconSWF","AvailableIconExportName","AvailableSeconds","AvailableBGExportName","ActiveTID","ActiveSCW","ActiveIconSWF","ActiveIconExportName","ActiveSeconds","ActiveBGExportName","TaskCount","CoinTaskMinPercentage","CoinTaskMaxPercentage","RequiredAmountPercentage","CoinRewardSizePercentage","KnowledgeRewardSizePercentage","ReputationRewardSizePercentage","ResourceOrTag1","ResourceOrTag2","ResourceOrTag3","WorkerJobSeconds","WorkerJobTID","WorkerJobBGExportName","WorkerJobProfession","WorkerJobRewardData1","WorkerJobRewardAmount1","WorkerJobRewardData2","WorkerJobRewardAmount2","WorkerJobRewardReputation","WorkerJobRewardNationKnowledge","WinTID","WinSCW","WinIconSWF","WinIconExportName","WinBGExportName","LoseTID","LoseSCW","LoseIconSWF","LoseIconExportName","LoseBGExportName","ReviewSeconds","RewardPerk","RewardPerkSeconds","RewardNationKnowledge","RewardTradePartner","PreventTaskGemming","NoTaskFiltering","EvenTaskRequirementDistribution","FixedVillageLevelForTasks","Pool","OnCompletionStartChallenges","RewardIcons","RewardIconTooltips"
"String","String","String","String","int","String","String","String","String","int","int","int","int","String","int","String","String","int","int","String","String","String","String","int","String","String","String","String","String","int","String","int","int","int","int","int","int","int","String","String","String","int","String","String","String","String","int","String","int","int","int","String","String","String","String","String","String","String","String","String","String","int","String","int","int","String","Boolean","Boolean","Boolean","int","String","String","String","String"
"Challenge001_ValleyFeast","TID_CHALLENGE001_VALLEYFEAST_TITLE","Baker","ChallengeCart",100,"Academy",,,"ChallengeSiteBakery",,1209600,4,,"NationCannery",1,,,,1,"TID_CHALLENGE001_VALLEYFEAST_INTRO","prefab/valley_event_great_feast.pfb#stage1","sc/ui.sc","sticker_baker_wave",86400,"bg_image_valley_festival","TID_CHALLENGE001_VALLEYFEAST_STAGE1","prefab/valley_event_great_feast.pfb#stage1","sc/ui.sc","sticker_baker_working",86400,"bg_image_valley_festival",21,100,100,80,100,100,100,"FoodCrafted",,,,,,,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_WIN","prefab/valley_event_great_feast.pfb#stage4","sc/ui.sc","sticker_baker_celebrate","bg_image_valley_festival","TID_CHALLENGE001_VALLEYFEAST_LOSE_STAGE1","prefab/valley_event_great_feast.pfb#stage1","sc/ui.sc","sticker_baker_thankyou","bg_image_valley_festival",86400,"NoHunger",86400,,,,,,,"Common",,,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_STAGE2","prefab/valley_event_great_feast.pfb#stage2","sc/ui.sc","sticker_baker_working",86400,"bg_image_valley_festival",30,100,100,80,100,100,100,"FoodCrafted",,,,,,,,,,,,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_LOSE_STAGE2","prefab/valley_event_great_feast.pfb#stage1","sc/ui.sc","sticker_baker_thankyou","bg_image_valley_festival",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_STAGE3","prefab/valley_event_great_feast.pfb#stage3","sc/ui.sc","sticker_baker_working",86400,"bg_image_valley_festival",24,100,100,80,100,100,100,"FoodCrafted",,,,,,,,,,,,,,,,,,"TID_CHALLENGE001_VALLEYFEAST_LOSE_STAGE3","prefab/valley_event_great_feast.pfb#stage1","sc/ui.sc","sticker_baker_thankyou","bg_image_valley_festival",,,,,,,,,,,,,
"Challenge002_Shipwreck","TID_CHALLENGE002_SHIPWRECK_TITLE","HarbourMaster","ChallengeCart",100,"Academy",,,"ChallengeSiteShipwreck4",,1209600,4,,,,,,,1,"TID_CHALLENGE002_SHIPWRECK_INTRO","prefab/valley_event_shipwreck.pfb#stage1","sc/ui.sc","sticker_harbormaster_wave",86400,"bg_image_valley_event_shipwreck_1","TID_CHALLENGE002_SHIPWRECK_STAGE1","prefab/valley_event_shipwreck.pfb#stage1","sc/ui.sc","sticker_harbormaster_working",86400,"bg_image_valley_event_shipwreck_1",21,100,100,80,100,100,100,"Wood","Plank",,,,,,,,,,,,"TID_CHALLENGE002_SHIPWRECK_WIN","prefab/valley_event_shipwreck.pfb#stage3","sc/ui.sc","sticker_harbormaster_celebrate","bg_image_valley_event_shipwreck_1","TID_CHALLENGE002_SHIPWRECK_LOSE_STAGE1","prefab/valley_event_shipwreck.pfb#stage1","sc/ui.sc","sticker_harbormaster_thankyou","bg_image_valley_event_shipwreck_1",86400,,,500,,,,,,"Common",,,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE002_SHIPWRECK_STAGE2","prefab/valley_event_shipwreck.pfb#stage2","sc/ui.sc","sticker_harbormaster_working",86400,"bg_image_valley_event_shipwreck_1",,,,,,,,,,,43200,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_01","bg_image_valley_construction","Builder","Coins",756,,,57,,,,,,,"TID_CHALLENGE002_SHIPWRECK_LOSE_STAGE2","prefab/valley_event_shipwreck.pfb#stage1","sc/ui.sc","sticker_harbormaster_thankyou","bg_image_valley_event_shipwreck_1",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_02","bg_image_valley_construction","Builder","Coins",756,,,57,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_03","bg_image_valley_construction","Builder","Coins",504,,,38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_04","bg_image_valley_construction","Builder","Coins",504,,,38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_05","bg_image_village_resource_wood","Lumberjack","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
