"Name","TID","InfoTitleTID","InfoTID","NPCGreetingTID","ConstructionTech","BuildingClass","ShopBuildingClass","GroundLayer","IconSWF","XP","SCW","SCWUpgrade","SCWConstruction","SCWConstructionExtra","SCWClaim","SCWUiBase","CollisionShape","Scale","BeginBuildResource","BeginBuildCost","BuildResource1","BuildCost1","BuildResource2","BuildCost2","BuildResource3","BuildCost3","BuildResource4","BuildCost4","BuildResource5","BuildCost5","BuildResource6","BuildCost6","MoveResource","ColorizeMaterials","MoveCost","TownHallLevel","CastleLevel","Width","Height","WalkableBorder","IgnoreAdjacentBuildingSpace","ObstacleGrowthDistance","Icon","MaxStoredWood","MaxStoredBread","MaxStoredStone","MaxStoredFood","MaxStoredClay","MaxStoredPotionIngredient1","MaxStoredPotionIngredient2","MaxStoredPotionIngredient3","MaxStoredPotionIngredient4","MaxStoredPotionIngredient5","MaxStoredPotionIngredient6","MaxStoredCoins","MaxStoredWool","MaxStoredWheat","MaxStoredBerry","MaxStoredMushroom","MaxStoredEgg","MaxStoredMushroomPie","MaxStoredBerryCake","MaxStoredFish","MaxStoredCotton","MaxStoredIndigo","MaxStoredSugar","MaxStoredSalt","MaxStoredSugarApple","MaxStoredHoneyCookie","MaxStoredFishPie","MaxStoredApplePie","MaxStoredCakeRoyale","MaxStoredSaltedFish","MaxStoredSaltPot","MaxStoredHoneyPot","MaxStoredAppleJam","MaxStoredSweetHerring","MaxStoredDyeRed","MaxStoredDyeYellow","MaxStoredDyeBlue","MaxStoredDyeGreen","MaxStoredDyeOrange","MaxStoredDyePurple","MaxStoredDyeRainbow","MaxStoredPlushie","MaxStoredRuneGame","MaxStoredWoodenDuck","MaxStoredMarbles","MaxStoredWoodenDoll","MaxStoredSocks","MaxStoredTrousers","MaxStoredHat","MaxStoredTunic","MaxStoredShirt","MaxStoredDress","MaxStoredJacket","MaxStoredRainbowSuit","MaxStoredFigurine","MaxStoredPottery","MaxStoredStatuette","MaxStoredAppleJuice","MaxStoredFlour","MaxStoredHoney","MaxStoredApple","StartingResourcePercent","Profession","MaxWorkers","MaxRequestedWorkers","MaxAutomaticallyProducedResources","ProducesResource","ResourceBatchSeconds","ResourceBatchSize","AutomaticResourceBatchSeconds","ResourceMax","InputResource","InputResourceType","InputPerBatch","HarvestResource","WorkPos1","WorkAnim1","WorkPos2","WorkAnim2","PickUpEffect","PlacingEffect","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","AmountCanBeUpgraded","Workers","SpawnResourceData","SpawnResourcePlantSeconds","SpawnResourceGrowSeconds","SpawnResourceHarvestSeconds","SpawnCount","SpawnPos1","SpawnPos2","SpawnPos3","SpawnPos4","Passable","SpeedPercentage","RandomDirection","RandomYaw","RandomPitch","RandomScale","RandomBaseDirection","RandomBaseYaw","StoredResourceNodePrefix","RequestAmount","RequestExpiryMinutes","RequestCooldownMinutes","DonationLimit","DonationSeconds","ConstantEffect","Specialty","MaxSpecialtyLevel","GoldCost","Service","ServiceButtonMini","ServiceButtonTab","CraftingSlots","CraftingQueue","NPC","EffectActivePos","EffectActiveName","EffectBoostPos","EffectBoostName","EffectBoostScalePercent","IconCameraZoom","IconCameraY","UIBackgroundExportName","UpgradeSignX","UpgradeSignY","UpgradeSignZ","UpgradeSignScale","LocationSound","AnimationAlwaysOn","VillageTaskProvider","SCWUnconstructed","TerrainHoleSize","DefaultTradePartner","PremiumTradePartner","TouchEffect"
"String","String","String","String","String","int","String","String","boolean","String","int","String","String","String","String","String","String","String","int","String","int","String","int","String","int","String","int","String","int","String","int","String","int","String","String","int","int","int","int","int","int","boolean","int","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","int","int","int","String","int","int","int","int","String","String","int","String","String","String","String","String","String","String","int","int","int","int","int","int","int","int","String","int","int","int","int","String","String","String","String","boolean","int","boolean","int","int","int","boolean","int","String","int","int","int","int","int","String","String","int","int","String","String","String","int","int","String","String","String","String","String","int","int","int","String","int","int","int","int","String","boolean","boolean","String","int","String","boolean","String"
"Castle","TID_NATION_BUILDING_CASTLE","TID_INFO_TITLE_VALLEY_LIBRARY","TID_NATION_BUILDING_CASTLE_INFO",,1,"Resource",,,,1,"sc3d/bldn_great_library_lv1_geo.glb",,"sc3d/bldn_construction_geo.glb","sc3d/bldn_great_library_lv1_upgrade_geo.glb","sc3d/bldn_great_library_claim_geo.glb","sc3d/ui_base_valley_geo.glb","Castle",100,,,,,,,,,,,,,,,,"bldn_capitol_roof",,,,24,24,1,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up","Generic Placing",,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,"Librarian",,,,"Nation_building_boost_generic",2000,295,129,"bg_image_valley_great_library",1700,-2600,-14,523,"Valley_Tap_Capital",,"false",,0,,,"Valley_Tap_capital"
,,,,,,,,,,1,"sc3d/bldn_great_library_lv2_geo.glb",,,"sc3d/bldn_great_library_lv2_upgrade_geo.glb",,,,,,,"Coins",400,"Clay",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,"sc3d/bldn_great_library_lv3_geo.glb",,,"sc3d/bldn_great_library_lv3_upgrade_geo.glb",,,,,,,"Coins",1500,"Clay",400,"Stone",300,"Wood",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,"sc3d/bldn_great_library_lv4_geo.glb",,,"sc3d/bldn_great_library_lv4_upgrade_geo.glb",,,,,,,"Coins",5100,"Stone",1250,"Clay",1130,"Wood",1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,"sc3d/bldn_great_library_lv5_geo.glb",,,"sc3d/bldn_great_library_lv5_upgrade_geo.glb",,,,,,,"Coins",8000,"Stone",2000,"Clay",1830,"Wood",2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,"sc3d/bldn_great_library_lv6_geo.glb",,,"sc3d/bldn_great_library_lv6_upgrade_geo.glb",,,,,,,"Coins",13000,"Stone",3100,"Clay",2800,"Wood",3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,"sc3d/bldn_great_library_lv7_geo.glb",,,"sc3d/bldn_great_library_lv7_upgrade_geo.glb",,,,,,,"Coins",20000,"Stone",5000,"Brick",1850,"Plank",1920,"Clay",3500,"Wood",4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,"sc3d/bldn_great_library_lv8_geo.glb",,,"sc3d/bldn_great_library_lv8_upgrade_geo.glb",,,,,,,"Coins",28000,"IronBar",1460,"Clay",6200,"Stone",5400,"Plank",2300,"Wood",6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,"sc3d/bldn_great_library_lv9_geo.glb",,,"sc3d/bldn_great_library_lv9_upgrade_geo.glb",,,,,,,"Coins",40000,"Plank",4600,"Nails",490,"Stone",8000,"Clay",6800,"Wood",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
