"Name","Type","Resource","Amount","MaxOwnedAmount","TID","InfoTID","Tag1","ExpireTimeInHours","IsInShop","HighlightUnseen","HideWhenPurchased","RandomSelectionWeight","Order","ShowOnlyOnce","MaxPurchaseCount","MaxPurchaseCountAllTime","ValueTID","BillingPackage","CoinCost","GemCost","PurchaseableWithDecoGems","AutoGemCostPct","AutoAmountPct","Worker","Building","OfferMovieClip","Potion","PotionLevel","WorkerForSkin","Worker2ForSkin","Skin","BuildingSkin","GroupOverride","IconSWF","IconExportName","IconBackgroundFrameLabel","ProductIconBackgroundFrameLabel","CharacterFrameLabel","CharacterMovieClip","BackgroundMovieClip","ConfirmPopupIconExportName","AnimateMovieClip","InFixedCategory","RequiredTech","MinVillageXPLevel","MaxVillageXPLevel","UnlockVillageXPLevel","VillageXPLevelRemove","MustBeInValley","OverrideProductIconMovieClip","ProductInfoTitleTID","ProductInfoTID","ProductInfoConfirmPopupTID","Comments"
"String","String","String","int","int","String","String","String","int","Boolean","boolean","boolean","int","int","boolean","int","int","String","String","int","int","boolean","int","int","String","String","String","String","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","Boolean","String","int","int","int","int","boolean","String","String","String","String","String"
"Shop0004_AutoResource_Basic1","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,,20,1,,1,,,,,,,90,100,,,,,,,,,,,"sc/ui.sc",,"basic",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0005_AutoResource_Basic2","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,,20,1,,1,,,,,,,90,100,,,,,,,,,,,"sc/ui.sc",,"basic",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0006_AutoResource_Basic3","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,,20,1,,1,,,,,,,90,100,,,,,,,,,,,"sc/ui.sc",,"basic",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0007_AutoResource_Basic4","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,,20,1,,1,,,,,,,90,100,,,,,,,,,,,"sc/ui.sc",,"basic",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0008_AutoResource_Basic5","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,,20,1,,1,,,,,,,90,100,,,,,,,,,,,"sc/ui.sc",,"basic",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0009_AutoResource_Basic6","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,,20,1,,1,,,,,,,90,100,,,,,,,,,,,"sc/ui.sc",,"basic",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0010_AutoResource_Basic7","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,,20,1,,1,,,,,,,90,100,,,,,,,,,,,"sc/ui.sc",,"basic",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0011_AutoResource_Basic8","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers",,"TRUE",,,20,1,,1,,,,,,,90,100,,,,,,,,,,,"sc/ui.sc",,"basic",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0012_AutoResource_Discount1","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,,20,1,,1,,"TID_SHOP_MINUS_50_PCT",,,,,45,100,,,,,,,,,,,"sc/ui.sc",,"value",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0013_AutoResource_Discount2","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,,20,1,,1,,"TID_SHOP_MINUS_50_PCT",,,,,45,100,,,,,,,,,,,"sc/ui.sc",,"value",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0014_AutoResource_Discount3","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,,20,1,,1,,"TID_SHOP_MINUS_50_PCT",,,,,45,100,,,,,,,,,,,"sc/ui.sc",,"value",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0015_AutoResource_Discount4","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,,20,1,,1,,"TID_SHOP_MINUS_50_PCT",,,,,45,100,,,,,,,,,,,"sc/ui.sc",,"value",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0016_AutoResource_Discount5","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,,20,1,,1,,"TID_SHOP_MINUS_50_PCT",,,,,45,100,,,,,,,,,,,"sc/ui.sc",,"value",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0017_AutoResource_Discount6","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,,20,1,,1,,"TID_SHOP_MINUS_50_PCT",,,,,45,100,,,,,,,,,,,"sc/ui.sc",,"value",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0018_AutoResource_Discount7","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,,20,1,,1,,"TID_SHOP_MINUS_50_PCT",,,,,45,100,,,,,,,,,,,"sc/ui.sc",,"value",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0019_AutoResource_Discount8","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Discount",,"TRUE",,,20,1,,1,,"TID_SHOP_MINUS_50_PCT",,,,,45,100,,,,,,,,,,,"sc/ui.sc",,"value",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0020_AutoResource_Freebie1","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE",,20,1,,1,,,,,,,0,30,,,,,,,,,,,"sc/ui.sc",,"free",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0021_AutoResource_Freebie2","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE",,20,1,,1,,,,,,,0,30,,,,,,,,,,,"sc/ui.sc",,"free",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
"Shop0022_AutoResource_Freebie3","AutoResource",,,,"TID_SHOP_ITEM_TITLE",,"DailyOffers_Freebie",,"TRUE","TRUE",,20,1,,1,,,,,,,0,30,,,,,,,,,,,"sc/ui.sc",,"free",,,,,"shop_item_confirm_special_popup",,,,,,,,,,,,,
