"Name","NationBuilding","BuildingLevel","TargetResource","TargetAmount","TID","SWF","ExportName","BgExportName","DurationSeconds","InputResource1","InputAmount1","InputResource2","InputAmount2","InputResource3","InputAmount3","InputResource4","InputAmount4"
"String","String","int","String","int","String","String","String","String","int","String","int","String","int","String","int","String","int"
"RecipeBread","NationBakery",1,"Bread",1,"TID_RECIPE_BREAD","sc/ui.sc","icon_bakery_bread","icon_recipe_bg",1200,"Flour",1,,,,,,
"RecipeBerryPie","NationBakery",1,"BerryPie",1,"TID_RECIPE_BERRYPIE","sc/ui.sc","icon_bakery_berry_pie","icon_recipe_bg",2700,"Flour",2,"Egg",2,"Berry",3,,
"RecipeBerryCake","NationBakery",1,"BerryCake",1,"TID_RECIPE_BERRYCAKE","sc/ui.sc","icon_bakery_berry_cake","icon_recipe_bg",3600,"Flour",3,"Egg",3,"Sugar",3,"Berry",3
"RecipeSugarApple","NationBakery",1,"SugarApple",1,"TID_RECIPE_SUGARAPPLE","sc/ui.sc","icon_bakery_sugar_apple","icon_recipe_bg",1200,"Apple",1,"Sugar",2,,,,
"RecipeHoneyCookie","NationBakery",1,"HoneyCookie",1,"TID_RECIPE_HONEYCOOKIE","sc/ui.sc","icon_bakery_honey_cookie","icon_recipe_bg",900,"Flour",1,"Honey",3,,,,
"RecipeFishPie","NationBakery",1,"FishPie",1,"TID_RECIPE_FISHPIE","sc/ui.sc","icon_bakery_fish_pie","icon_recipe_bg",2700,"Flour",2,"Egg",2,"Fish",1,"Mushroom",1
"RecipeApplePie","NationBakery",1,"ApplePie",1,"TID_RECIPE_APPLEPIE","sc/ui.sc","icon_bakery_apple_pie","icon_recipe_bg",2700,"Flour",2,"Egg",2,"Apple",3,,
"RecipeCakeRoyale","NationBakery",1,"CakeRoyale",1,"TID_RECIPE_CAKEROYALE","sc/ui.sc","icon_bakery_royal_cake","icon_recipe_bg",5400,"BerryCake",1,"Honey",3,"AppleJuice",1,"FountainBoost",3
"RecipeSaltedFish","NationCannery",1,"SaltedFish",1,"TID_RECIPE_SALTEDFISH","sc/ui.sc","icon_pottery_salted_fish","icon_recipe_bg",2400,"Pottery",1,"Fish",2,"Salt",4,,
"RecipeSaltPot","NationCannery",1,"SaltPot",1,"TID_RECIPE_SALTPOT","sc/ui.sc","icon_pottery_salt","icon_recipe_bg",1200,"Pottery",1,"Salt",6,,,,
"RecipeHoneyPot","NationCannery",1,"HoneyPot",1,"TID_RECIPE_HONEYPOT","sc/ui.sc","icon_pottery_honey","icon_recipe_bg",1500,"Pottery",1,"Honey",6,,,,
"RecipeAppleJam","NationCannery",1,"AppleJam",1,"TID_RECIPE_APPLEJAM","sc/ui.sc","icon_pottery_jam","icon_recipe_bg",1800,"Pottery",1,"AppleJuice",2,"Apple",2,"Sugar",2
"RecipeSweetHerring","NationCannery",1,"SweetHerring",1,"TID_RECIPE_SWEETHERRING","sc/ui.sc","icon_pottery_sweet_herring","icon_recipe_bg",3000,"Pottery",1,"Fish",2,"Honey",2,"Sugar",2
"RecipeDyeRed","NationDyeShop",1,"DyeRed",1,"TID_RECIPE_DYERED","sc/ui.sc","icon_dye_shop_red","icon_recipe_bg",1200,"Berry",3,,,,,,
"RecipeDyeYellow","NationDyeShop",1,"DyeYellow",1,"TID_RECIPE_DYEYELLOW","sc/ui.sc","icon_dye_shop_yellow","icon_recipe_bg",1200,"Mushroom",3,,,,,,
"RecipeDyeBlue","NationDyeShop",1,"DyeBlue",1,"TID_RECIPE_DYEBLUE","sc/ui.sc","icon_dye_shop_blue","icon_recipe_bg",1200,"Indigo",3,,,,,,
"RecipeDyeGreen","NationDyeShop",1,"DyeGreen",1,"TID_RECIPE_DYEGREEN","sc/ui.sc","icon_dye_shop_green","icon_recipe_bg",1800,"DyeBlue",1,"DyeYellow",1,,,,
"RecipeDyeOrange","NationDyeShop",1,"DyeOrange",1,"TID_RECIPE_DYEORANGE","sc/ui.sc","icon_dye_shop_orange","icon_recipe_bg",1800,"DyeYellow",1,"DyeRed",1,,,,
