"Name","Level1Prob","Level2Prob","Level3Prob","Level4Prob","Level5Prob","Level6Prob","Level7Prob","Level8Prob","Level9Prob","Level10Prob","Level11Prob","Level12Prob","Level13Prob","Level14Prob","Level15Prob","Level16Prob","Level17Prob","Level18Prob","Level19Prob","Level20Prob"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
"Default",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Diminishing",100,90,80,70,60,50,40,20,10,10,10,10,10,10,10,10,10,10,10,10
"ClothesCrafted",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"ClothesProdArea",100,100,100,70,60,40,30,15,15,15,15,15,15,15,15,15,15,15,15,15
"ConstructionAdvanced",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"ConstructionBasic",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"CraftsCrafted",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"CraftsDye",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CraftsVillageCraft",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"FoodCrafted",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"FoodProdArea",100,100,100,70,60,40,30,15,15,15,15,15,15,15,15,15,15,15,15,15
"FoodRawMaterial",100,100,100,40,20,10,5,3,3,3,3,3,3,3,3,3,3,3,3,3
"FoodVillageCraft",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"RefinedMaterial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"IronCrafted",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"IronBasic",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"IronAdvanced",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"AdvancedCrafted",60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
